index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,lineID,bulbonline,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,globalposition_x,globalposition_y,globalposition_z,AmI_0axis_IndicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Xaxis_indicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Yaxis_indicatorLocal
74,0.1672,3.5422,5.0351,11.3859,2.1663,-2.1663,2,10,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,0.1007,3.8552,4.9863,11.3859,1.9260,-1.9260,2,11,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,0.0341,4.1682,4.9480,11.3859,1.6219,-1.6219,2,12,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,-0.0324,4.4812,4.9199,11.3859,1.3886,-1.3886,2,13,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,-0.0989,4.7942,4.9023,11.3859,1.1937,-1.1937,2,14,2,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,-0.1655,5.1072,4.8950,11.3859,1.0250,-1.0250,2,15,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,-0.2320,5.4202,4.8981,11.3859,0.8668,-0.8668,2,16,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,-0.2985,5.7332,4.9120,11.3859,0.7032,-0.7032,2,17,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,-0.3651,6.0462,4.9362,11.3859,0.5346,-0.5346,2,18,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,-0.4316,6.3592,4.9708,11.3859,0.3529,-0.3529,2,19,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
