ID,Panel,col,row,x 3d,y 3d,to steelwire,to ceiling,to floor,x 2d,y 2d,DMX universe,DMX bk,DMX address,sensor index,deflection_cm,to wall,sequence index,known dmx,known pos,Labels,RackID,DimID,DimPort
64,000-A,0,2,-1.230,10.115,0,3.238,3.156,0,0,2,0,1,0,304.2,0.368,31,1,1,row:3|pos:1|dim:1|id:65,0,1,2
65,000-A,1,2,-1.163,9.802,0,3.026,3.369,0,0,2,0,2,0,267.0,0.688,30,1,1,row:3|pos:2|dim:1|id:66,0,1,2
66,000-A,2,2,-1.097,9.489,0,2.741,3.654,0,0,2,0,3,0,223.6,1.008,29,1,1,row:3|pos:3|dim:1|id:67,0,1,2
67,000-A,3,2,-1.030,9.176,0,2.473,3.922,0,0,2,0,4,0,182.9,1.328,28,1,1,row:3|pos:4|dim:1|id:68,0,1,2
68,000-A,4,2,-0.964,8.863,0,2.258,4.137,0,0,2,0,5,0,148.5,1.648,27,1,1,row:3|pos:5|dim:1|id:69,0,1,2
69,000-A,5,2,-0.897,8.550,0,2.038,4.356,0,0,2,0,6,0,114.8,1.968,26,1,1,row:3|pos:6|dim:1|id:70,0,1,2
70,000-A,6,2,-0.831,8.237,0,1.844,4.550,0,0,2,0,7,0,84.7,2.288,25,1,1,row:3|pos:7|dim:1|id:71,0,1,2
71,000-A,7,2,-0.764,7.924,0,1.682,4.713,0,0,2,0,8,0,58.7,2.608,24,1,1,row:3|pos:8|dim:1|id:72,0,1,2
72,000-A,8,2,-0.698,7.611,0,1.598,4.797,0,0,2,0,9,0,41.6,2.928,23,1,1,row:3|pos:9|dim:1|id:73,0,1,2
73,000-A,9,2,-0.631,7.298,0,1.593,4.802,0,0,2,0,10,0,33.5,3.248,22,1,1,row:3|pos:10|dim:1|id:74,0,1,2
74,000-A,10,2,-0.565,6.985,0,1.582,4.812,0,0,2,0,11,0,25.9,3.568,21,1,1,row:3|pos:11|dim:1|id:75,0,1,2
75,000-A,11,2,-0.498,6.672,0,1.625,4.769,0,0,2,0,12,0,24.6,3.888,20,1,1,row:3|pos:12|dim:1|id:76,0,1,2
76,000-A,12,2,-0.432,6.359,0,1.777,4.618,0,0,2,0,13,0,35.3,4.208,19,1,1,row:3|pos:13|dim:1|id:77,0,1,2
77,000-A,13,2,-0.365,6.046,0,1.993,4.402,0,0,2,0,14,0,53.5,4.528,18,1,1,row:3|pos:14|dim:1|id:78,0,1,2
78,000-A,14,2,-0.298,5.733,0,2.186,4.209,0,0,2,0,15,0,70.3,4.848,17,1,1,row:3|pos:15|dim:1|id:79,0,1,2
79,000-A,15,2,-0.232,5.420,0,2.363,4.031,0,0,2,0,16,0,86.7,5.168,16,1,1,row:3|pos:16|dim:1|id:80,0,1,2
80,000-A,16,2,-0.166,5.107,0,2.525,3.870,0,0,2,0,17,0,102.5,5.368,15,1,1,row:3|pos:17|dim:1|id:81,0,1,2
81,000-A,17,2,-0.099,4.794,0,2.686,3.709,0,0,2,0,18,0,119.4,5.048,14,1,1,row:3|pos:18|dim:1|id:82,0,1,2
82,000-A,18,2,-0.032,4.481,0,2.863,3.531,0,0,2,0,19,0,138.9,4.728,13,1,1,row:3|pos:19|dim:1|id:83,0,1,2
83,000-A,19,2,0.034,4.168,0,3.068,3.326,0,0,2,0,20,0,162.2,4.408,12,1,1,row:3|pos:20|dim:1|id:84,0,1,2
84,000-A,20,2,0.101,3.855,0,3.334,3.060,0,0,2,0,21,0,192.6,4.088,11,1,1,row:3|pos:21|dim:1|id:85,0,1,2
85,000-A,21,2,0.167,3.542,0,3.526,2.869,0,0,2,0,22,0,216.6,3.768,10,1,1,row:3|pos:22|dim:1|id:86,0,1,2
86,000-A,22,2,0.234,3.229,0,3.613,2.781,0,0,2,0,23,0,231.3,3.448,9,1,1,row:3|pos:23|dim:1|id:87,0,1,2
87,000-A,23,2,0.300,2.916,0,3.581,2.814,0,0,2,0,24,0,235.0,3.128,8,1,1,row:3|pos:24|dim:1|id:88,0,1,2
88,000-A,24,2,0.367,2.603,0,3.383,3.011,0,0,2,0,25,0,223.3,2.808,7,1,1,row:3|pos:25|dim:1|id:89,0,1,2
89,000-A,25,2,0.433,2.290,0,3.027,3.367,0,0,2,0,26,0,196.8,2.488,6,1,1,row:3|pos:26|dim:1|id:90,0,1,2
90,000-A,26,2,0.500,1.977,0,2.665,3.729,0,0,2,0,27,0,170.7,2.168,5,1,1,row:3|pos:27|dim:1|id:91,0,1,2
91,000-A,27,2,0.566,1.664,0,2.366,4.029,0,0,2,0,28,0,151.8,1.848,4,1,1,row:3|pos:28|dim:1|id:92,0,1,2
92,000-A,28,2,0.633,1.351,0,2.193,4.201,0,0,2,0,29,0,146.8,1.528,3,1,1,row:3|pos:29|dim:1|id:93,0,1,2
93,000-A,29,2,0.699,1.038,0,2.188,4.207,0,0,2,0,30,0,159.5,1.208,2,1,1,row:3|pos:30|dim:1|id:94,0,1,2
94,000-A,30,2,0.766,0.725,0,2.404,3.990,0,0,2,0,31,0,195.4,0.888,1,1,1,row:3|pos:31|dim:1|id:95,0,1,2
95,000-A,31,2,0.833,0.412,0,2.642,3.752,0,0,2,0,32,0,234.5,0.568,0,1,1,row:3|pos:32|dim:1|id:96,0,1,2
96,000-A,0,3,1.306,0.349,0,2.635,3.760,0,0,2,0,33,0,222.6,0.499,0,1,1,row:4|pos:1|dim:1|id:97,0,1,2
97,000-A,1,3,1.239,0.662,0,2.464,3.931,0,0,2,0,34,0,191.5,0.819,1,1,1,row:4|pos:2|dim:1|id:98,0,1,2
98,000-A,2,3,1.173,0.975,0,2.292,4.103,0,0,2,0,35,0,161.2,1.139,2,1,1,row:4|pos:3|dim:1|id:99,0,1,2
