index,position_x,position_y,position_z,pitchy,pitchx,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,Universe,bulbonline,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Yaxis_indicatorLocal,AmI_Xaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal
88,-0.373,6.084,4.739,0.320,0.450,11.556,0.286,-0.286,2,1,20,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
89,-0.439,6.394,4.773,0.320,0.450,11.556,0.126,-0.126,2,1,21,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
90,-0.505,6.704,4.825,0.320,0.450,11.556,0.047,-0.047,2,1,22,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
91,-0.570,7.013,4.877,0.320,0.450,11.556,0.063,-0.063,2,1,23,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
92,-0.635,7.317,4.952,0.320,0.450,11.556,0.151,-0.151,2,1,24,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
93,-0.700,7.621,5.029,0.320,0.450,11.556,0.233,-0.233,2,1,25,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
94,-0.764,7.921,5.120,0.320,0.450,11.556,0.406,-0.406,2,1,26,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
95,-0.827,8.218,5.222,0.320,0.450,11.556,0.661,-0.661,2,1,27,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
96,-0.890,8.515,5.327,0.320,0.450,11.556,0.949,-0.949,2,1,28,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
97,-0.951,8.802,5.454,0.320,0.450,11.556,1.272,-1.272,2,1,29,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
98,-1.012,9.089,5.580,0.320,0.450,11.556,1.606,-1.606,2,1,30,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
99,-1.071,9.369,5.723,0.320,0.450,11.556,1.965,-1.965,2,1,31,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
100,-1.130,9.646,5.874,0.320,0.450,11.556,2.359,-2.359,2,1,32,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
101,-1.188,9.919,6.030,0.320,0.450,11.556,2.769,-2.769,2,1,33,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
102,-1.244,10.182,6.203,0.320,0.450,11.556,3.081,-3.081,2,1,34,0.900,5.088,4.693,0.900,-0.338,6.395,0.900,10.518,6.395,False,False,False,False,False,False,False,False
103,1.254,0.595,6.130,0.320,0.450,11.292,2.234,-2.234,3,2,0,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
104,1.198,0.858,5.957,0.320,0.450,11.292,1.920,-1.920,3,2,1,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
105,1.139,1.133,5.804,0.320,0.450,11.292,1.707,-1.707,3,2,2,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
106,1.081,1.407,5.650,0.320,0.450,11.292,1.605,-1.605,3,2,3,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
107,1.021,1.691,5.516,0.320,0.450,11.292,1.699,-1.699,3,2,4,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
108,0.960,1.977,5.386,0.320,0.450,11.292,1.838,-1.838,3,2,5,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
109,0.898,2.268,5.268,0.320,0.450,11.292,2.011,-2.011,3,2,6,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
110,0.835,2.564,5.163,0.320,0.450,11.292,2.211,-2.211,3,2,7,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
111,0.772,2.860,5.060,0.320,0.450,11.292,2.251,-2.251,3,2,8,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
112,0.708,3.164,4.981,0.320,0.450,11.292,2.222,-2.222,3,2,9,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
113,0.643,3.467,4.902,0.320,0.450,11.292,2.092,-2.092,3,2,10,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
114,0.578,3.774,4.842,0.320,0.450,11.292,1.885,-1.885,3,2,11,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
115,0.512,4.083,4.789,0.320,0.450,11.292,1.623,-1.623,3,2,12,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
116,0.446,4.393,4.746,0.320,0.450,11.292,1.384,-1.384,3,2,13,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
117,0.380,4.705,4.719,0.320,0.450,11.292,1.158,-1.158,3,2,14,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
118,0.314,5.016,4.693,0.320,0.450,11.292,0.981,-0.981,3,2,15,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
119,0.247,5.329,4.693,0.320,0.450,11.292,0.870,-0.870,3,1,16,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
120,0.181,5.642,4.693,0.320,0.450,11.292,0.711,-0.711,3,1,17,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
121,0.114,5.955,4.712,0.320,0.450,11.292,0.577,-0.577,3,1,18,1.350,5.208,4.693,1.350,-0.079,6.395,1.350,10.496,6.395,False,False,False,False,False,False,False,False
